date,上证指数_close,深证成指_close,创业板指_close,沪深300_close,科创50_close,上证指数_pct,深证成指_pct,创业板指_pct,沪深300_pct,科创50_pct,amount_yi,up,down,flat,limit_up,limit_down
2024-05-27,3124.04,9507.75,1830.96,3635.71,738.65,1.14,0.88,0.68,0.95,1.57,7748.1,,,,,
2024-05-28,3109.57,9391.05,1806.25,3609.17,734.85,-0.46,-1.23,-1.35,-0.73,-0.51,7417.3,,,,,
2024-05-29,3111.02,9414.98,1811.07,3613.52,734.33,0.05,0.25,0.27,0.12,-0.07,7083.9,,,,,
2024-05-30,3091.68,9384.72,1813.15,3594.31,742.70,-0.62,-0.32,0.11,-0.53,1.14,7232.9,,,,,
2024-05-31,3086.81,9364.38,1805.11,3579.92,743.23,-0.16,-0.22,-0.44,-0.40,0.07,7149.6,,,,,
2024-06-03,3078.49,9370.50,1819.46,3588.75,750.43,-0.27,0.07,0.79,0.25,0.97,8307.0,,,,,
2024-06-04,3091.20,9469.32,1843.59,3615.67,753.64,0.41,1.05,1.33,0.75,0.43,7457.1,,,,,
2024-06-05,3065.40,9393.61,1833.55,3594.79,752.04,-0.83,-0.80,-0.54,-0.58,-0.21,6885.8,,,,,
2024-06-06,3048.79,9340.01,1820.45,3592.25,743.23,-0.54,-0.57,-0.71,-0.07,-1.17,8459.3,,,,,
2024-06-07,3051.28,9255.68,1781.07,3574.11,737.93,0.08,-0.90,-2.16,-0.50,-0.71,7168.3,,,,,
2024-06-11,3028.05,9262.35,1787.30,3542.88,755.83,-0.76,0.07,0.35,-0.87,2.43,7029.3,,,,,
2024-06-12,3037.47,9269.94,1779.42,3544.12,754.93,0.31,0.08,-0.44,0.04,-0.12,6919.2,,,,,
2024-06-13,3028.92,9206.24,1777.79,3526.13,758.98,-0.28,-0.69,-0.09,-0.51,0.54,7524.8,,,,,
2024-06-14,3032.63,9252.25,1791.36,3541.53,754.26,0.12,0.50,0.76,0.44,-0.62,8480.9,,,,,
2024-06-17,3015.89,9281.25,1806.19,3536.20,757.11,-0.55,0.31,0.83,-0.15,0.38,7516.1,,,,,
2024-06-18,3030.25,9318.47,1811.36,3545.59,756.90,0.48,0.40,0.29,0.27,-0.03,7370.3,,,,,
2024-06-19,3018.05,9219.07,1788.50,3528.75,751.69,-0.40,-1.07,-1.26,-0.47,-0.69,7047.5,,,,,
2024-06-20,3005.44,9068.85,1762.70,3503.28,755.15,-0.42,-1.63,-1.44,-0.72,0.46,7243.9,,,,,
2024-06-21,2998.14,9064.84,1755.88,3495.62,758.37,-0.24,-0.04,-0.39,-0.22,0.43,6196.0,,,,,
2024-06-24,2963.10,8924.17,1731.51,3476.81,739.14,-1.17,-1.55,-1.39,-0.54,-2.54,6956.1,,,,,
2024-06-25,2950.00,8850.29,1700.02,3457.90,717.75,-0.44,-0.83,-1.82,-0.54,-2.89,6482.0,,,,,
2024-06-26,2972.53,8987.30,1730.64,3480.26,729.64,0.76,1.55,1.80,0.65,1.66,6433.9,,,,,
2024-06-27,2945.85,8849.70,1703.20,3454.12,715.36,-0.90,-1.53,-1.59,-0.75,-1.96,6263.2,,,,,
2024-06-28,2967.40,8848.70,1683.43,3461.66,712.08,0.73,-0.01,-1.16,0.22,-0.46,7032.6,,,,,
2024-07-01,2994.73,8899.17,1682.69,3478.18,709.60,0.92,0.57,-0.04,0.48,-0.35,6580.7,,,,,
2024-07-02,2997.01,8812.67,1665.04,3471.79,699.12,0.08,-0.97,-1.05,-0.18,-1.48,6446.5,,,,,
2024-07-03,2982.38,8760.43,1660.12,3463.41,701.78,-0.49,-0.59,-0.30,-0.24,0.38,5803.8,,,,,
2024-07-04,2957.57,8673.83,1647.22,3445.81,690.38,-0.83,-0.99,-0.78,-0.51,-1.62,5831.4,,,,,
2024-07-05,2949.93,8695.55,1655.59,3431.06,698.85,-0.26,0.25,0.51,-0.43,1.23,5748.5,,,,,
2024-07-08,2922.45,8561.95,1628.76,3401.76,692.49,-0.93,-1.54,-1.62,-0.85,-0.91,5820.1,,,,,
2024-07-09,2959.37,8705.94,1652.12,3439.81,709.89,1.26,1.68,1.43,1.12,2.51,7244.5,,,,,
2024-07-10,2939.36,8697.22,1651.11,3428.97,710.37,-0.68,-0.10,-0.06,-0.32,0.07,6776.0,,,,,
